Country name,iso3,model_count,top_organizations,period,popup_info,method_note
Nauru,,0,Sin registros,2018-2025,Nauru<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Navassa Island,,0,Sin registros,2018-2025,Navassa Island<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Nepal,,0,Sin registros,2018-2025,Nepal<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Netherlands,NLD,1,Hugging Face; ServiceNow; Northeastern University; Mila; CMU,2018-2025,"País: Netherlands
Modelos LLM notables: 1
Organizaciones principales: Hugging Face; ServiceNow; Northeastern University; Mila; CMU
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
New Caledonia,,0,Sin registros,2018-2025,New Caledonia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
New Zealand,,0,Sin registros,2018-2025,New Zealand<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Nicaragua,,0,Sin registros,2018-2025,Nicaragua<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Niger,,0,Sin registros,2018-2025,Niger<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Nigeria,,0,Sin registros,2018-2025,Nigeria<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Niue,,0,Sin registros,2018-2025,Niue<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Norfolk Island,,0,Sin registros,2018-2025,Norfolk Island<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
North Korea,,0,Sin registros,2018-2025,North Korea<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Northern Mariana Islands,,0,Sin registros,2018-2025,Northern Mariana Islands<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Norway,NOR,1,Johannes Kepler University Linz; Institute of Advanced Research in Artificial Intelligence; University of Oslo,2018-2025,"País: Norway
Modelos LLM notables: 1
Organizaciones principales: Johannes Kepler University Linz; Institute of Advanced Research in Artificial Intelligence; University of Oslo
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
Oman,,0,Sin registros,2018-2025,Oman<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Pakistan,,0,Sin registros,2018-2025,Pakistan<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Palau,,0,Sin registros,2018-2025,Palau<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Palestine,,0,Sin registros,2018-2025,Palestine<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Palmyra Atoll,,0,Sin registros,2018-2025,Palmyra Atoll<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Panama,,0,Sin registros,2018-2025,Panama<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Papua New Guinea,,0,Sin registros,2018-2025,Papua New Guinea<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Paraguay,,0,Sin registros,2018-2025,Paraguay<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Peru,,0,Sin registros,2018-2025,Peru<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Philippines,,0,Sin registros,2018-2025,Philippines<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Pitcairn Islands,,0,Sin registros,2018-2025,Pitcairn Islands<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Poland,,0,Sin registros,2018-2025,Poland<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Portugal,,0,Sin registros,2018-2025,Portugal<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Puerto Rico,,0,Sin registros,2018-2025,Puerto Rico<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Qatar,,0,Sin registros,2018-2025,Qatar<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Republic of Macedonia,,0,Sin registros,2018-2025,Republic of Macedonia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Republic of the Congo,,0,Sin registros,2018-2025,Republic of the Congo<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Romania,,0,Sin registros,2018-2025,Romania<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Russia,RUS,1,Samsung R&D Institute Russia,2018-2025,"País: Russia
Modelos LLM notables: 1
Organizaciones principales: Samsung R&D Institute Russia
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
Rwanda,,0,Sin registros,2018-2025,Rwanda<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Saba,,0,Sin registros,2018-2025,Saba<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Saint Helena,,0,Sin registros,2018-2025,Saint Helena<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Saint Kitts and Nevis,,0,Sin registros,2018-2025,Saint Kitts and Nevis<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Saint Lucia,,0,Sin registros,2018-2025,Saint Lucia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Saint Martin,,0,Sin registros,2018-2025,Saint Martin<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Saint Pierre and Miquelon,,0,Sin registros,2018-2025,Saint Pierre and Miquelon<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Saint Vincent and the Grenadines,,0,Sin registros,2018-2025,Saint Vincent and the Grenadines<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Saint-Barthélemy,,0,Sin registros,2018-2025,Saint-Barthélemy<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Samoa,,0,Sin registros,2018-2025,Samoa<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
San Marino,,0,Sin registros,2018-2025,San Marino<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
São Tomé and Príncipe,,0,Sin registros,2018-2025,São Tomé and Príncipe<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Saudi Arabia,SAU,2,Saudi Data and Artificial Intelligence Authority; Saudi Aramco,2018-2025,"País: Saudi Arabia
Modelos LLM notables: 2
Organizaciones principales: Saudi Data and Artificial Intelligence Authority; Saudi Aramco
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
Senegal,,0,Sin registros,2018-2025,Senegal<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Serbia,,0,Sin registros,2018-2025,Serbia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Seychelles,,0,Sin registros,2018-2025,Seychelles<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Sierra Leone,,0,Sin registros,2018-2025,Sierra Leone<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Singapore,SGP,9,Nanyang Technological University; Hong Kong University of Science and Technology (HKUST); Salesforce; Sapient Intelligence; Tsinghua University,2018-2025,"País: Singapore
Modelos LLM notables: 9
Organizaciones principales: Nanyang Technological University; Hong Kong University of Science and Technology (HKUST); Salesforce; Sapient Intelligence; Tsinghua University
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
Sint Eustatius,,0,Sin registros,2018-2025,Sint Eustatius<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Sint Maarten,,0,Sin registros,2018-2025,Sint Maarten<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Slovakia,,0,Sin registros,2018-2025,Slovakia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Slovenia,,0,Sin registros,2018-2025,Slovenia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Solomon Islands,,0,Sin registros,2018-2025,Solomon Islands<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Somalia,,0,Sin registros,2018-2025,Somalia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
South Africa,,0,Sin registros,2018-2025,South Africa<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
South Georgia and the South Sandwich Islands,,0,Sin registros,2018-2025,South Georgia and the South Sandwich Islands<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
South Korea,KOR,13,LG AI Research; Korea University; NAVER; Samsung; Upstage,2018-2025,"País: South Korea
Modelos LLM notables: 13
Organizaciones principales: LG AI Research; Korea University; NAVER; Samsung; Upstage
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
South Sudan,,0,Sin registros,2018-2025,South Sudan<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Spain,ESP,1,Hugging Face; ServiceNow; Northeastern University; Mila; CMU,2018-2025,"País: Spain
Modelos LLM notables: 1
Organizaciones principales: Hugging Face; ServiceNow; Northeastern University; Mila; CMU
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
Sri Lanka,,0,Sin registros,2018-2025,Sri Lanka<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Sudan,,0,Sin registros,2018-2025,Sudan<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Suriname,,0,Sin registros,2018-2025,Suriname<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Sweden,SWE,1,Hugging Face; ServiceNow; Northeastern University; Mila; CMU,2018-2025,"País: Sweden
Modelos LLM notables: 1
Organizaciones principales: Hugging Face; ServiceNow; Northeastern University; Mila; CMU
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
Switzerland,CHE,1,IDIAP,2018-2025,"País: Switzerland
Modelos LLM notables: 1
Organizaciones principales: IDIAP
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
Syria,,0,Sin registros,2018-2025,Syria<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Tajikistan,,0,Sin registros,2018-2025,Tajikistan<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Tanzania,,0,Sin registros,2018-2025,Tanzania<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Thailand,,0,Sin registros,2018-2025,Thailand<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
The Bahamas,,0,Sin registros,2018-2025,The Bahamas<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
The Gambia,,0,Sin registros,2018-2025,The Gambia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Togo,,0,Sin registros,2018-2025,Togo<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Tokelau,,0,Sin registros,2018-2025,Tokelau<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Tonga,,0,Sin registros,2018-2025,Tonga<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Trinidad and Tobago,,0,Sin registros,2018-2025,Trinidad and Tobago<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Tunisia,,0,Sin registros,2018-2025,Tunisia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Turkey,,0,Sin registros,2018-2025,Turkey<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Turkmenistan,,0,Sin registros,2018-2025,Turkmenistan<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Turks and Caicos Islands,,0,Sin registros,2018-2025,Turks and Caicos Islands<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Tuvalu,,0,Sin registros,2018-2025,Tuvalu<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Uganda,,0,Sin registros,2018-2025,Uganda<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Ukraine,,0,Sin registros,2018-2025,Ukraine<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
United Arab Emirates,ARE,3,Technology Innovation Institute; Cerebras Systems; Mohamed bin Zayed University of Artificial Intelligence (MBZ; Inception G42,2018-2025,"País: United Arab Emirates
Modelos LLM notables: 3
Organizaciones principales: Technology Innovation Institute; Cerebras Systems; Mohamed bin Zayed University of Artificial Intelligence (MBZ; Inception G42
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
United Kingdom,GBR,20,Google/DeepMind; University College London (UCL); Mila; McGill University; MIT,2018-2025,"País: United Kingdom
Modelos LLM notables: 20
Organizaciones principales: Google/DeepMind; University College London (UCL); Mila; McGill University; MIT
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
United Nations Buffer Zone in Cyprus,,0,Sin registros,2018-2025,United Nations Buffer Zone in Cyprus<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
United States of America,USA,266,Google/DeepMind; OpenAI; Meta; Microsoft; NVIDIA,2018-2025,"País: United States of America
Modelos LLM notables: 266
Organizaciones principales: Google/DeepMind; OpenAI; Meta; Microsoft; NVIDIA
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
United States Virgin Islands,,0,Sin registros,2018-2025,United States Virgin Islands<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Uruguay,,0,Sin registros,2018-2025,Uruguay<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Uzbekistan,,0,Sin registros,2018-2025,Uzbekistan<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Vanuatu,,0,Sin registros,2018-2025,Vanuatu<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Vatican City,,0,Sin registros,2018-2025,Vatican City<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Venezuela,,0,Sin registros,2018-2025,Venezuela<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Vietnam,,0,Sin registros,2018-2025,Vietnam<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Wake Island,,0,Sin registros,2018-2025,Wake Island<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Wallis and Futuna,,0,Sin registros,2018-2025,Wallis and Futuna<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Western Sahara,,0,Sin registros,2018-2025,Western Sahara<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Yemen,,0,Sin registros,2018-2025,Yemen<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Zambia,,0,Sin registros,2018-2025,Zambia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Zimbabwe,,0,Sin registros,2018-2025,Zimbabwe<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
