Model,Organization,Country (of organization),Publication date,Year,Domain,Training compute (FLOP),log10_training_compute,Parameters,Training compute cost (2023 USD),Open model weights?,Open_Status,Model accessibility,Frontier model
StarCoder,"Hugging Face,ServiceNow,Northeastern University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),Carnegie Mellon University (CMU),Johns Hopkins University,Leipzig University,ScaDS.AI,Queen Mary University of London,Roblox,Sea AI Lab,Technion - Israel Institute of Technology,Monash University,CSIRO,Data61,McGill University,Saama,University of British Columbia (UBC),Massachusetts Institute of Technology (MIT),Technical University of Munich,IBM,University of Vermont,UnfoldML,SAP,University of Notre Dame,Columbia University,New York University (NYU),University of Allahabad,Discover Dollar,Toloka,Telefonica,Stanford University,Weizmann Institute of Science,Alan Turing Institute,Wellesley College,EleutherAI,Forschungszentrum Julich","United States of America,United States of America,United States of America,Canada,United States of America,United States of America,Germany,Germany,United Kingdom of Great Britain and Northern Ireland,United States of America,Singapore,Israel,Australia,Australia,Australia,Canada,United States of America,Canada,United States of America,Germany,United States of America,United States of America,Sweden,Germany,United States of America,United States of America,United States of America,India,India,Netherlands,Spain,United States of America,Israel,United Kingdom of Great Britain and Northern Ireland,United States of America,United States of America,Germany",2023-05-09,2023,Language,8.46e+22,22.927370363039024,15500000000.0,$212217.65,Yes,Abierto,Open weights (restricted use),
FinGPT-13B,"University of California Los Angeles (UCLA),Columbia University,New York University (NYU)","United States of America,United States of America,United States of America",2023-10-07,2023,Language,1.6e+23,23.204119982655925,13000000000.0,,Yes,Abierto,Open weights (unrestricted),
Llama Guard,Meta AI,United States of America,2023-12-07,2023,Language,1.6e+23,23.204119982655925,7000000000.0,,Yes,Abierto,Open weights (restricted use),
Nemotron-3-8B,NVIDIA,United States of America,2023-11-15,2023,Language,1.8e+23,23.255272505103306,8000000000.0,$214467.02,Yes,Abierto,Open weights (restricted use),
BloombergGPT,"Bloomberg,Johns Hopkins University","United States of America,United States of America",2023-03-30,2023,Language,2.36e+23,23.372912002970107,50558868480.0,$369586.14,No,Cerrado,Unreleased,
Falcon-40B,Technology Innovation Institute,United Arab Emirates,2023-03-15,2023,Language,2.4e+23,23.380211241711606,40000000000.0,$319783.16,Yes,Abierto,Open weights (unrestricted),
Skywork-13B,Kunlun Inc.,China,2023-10-30,2023,Language,2.5e+23,23.397940008672037,13000000000.0,,Yes,Abierto,Open weights (restricted use),
nekomata-14b,rinna,Japan,2023-12-21,2023,Language,2.5562e+23,23.407594830510746,14200000000.0,,Yes,Abierto,Open weights (restricted use),
FunSearch,Google DeepMind,United States of America,2023-12-14,2023,"Language,Search",3.87e+23,23.58771096501891,15000000000.0,,Yes,Abierto,Open weights (unrestricted),
PanGu-Σ,Huawei Noah's Ark Lab,China,2023-03-20,2023,Language,4.669999999999999e+23,23.66931688056611,1085000000000.0,,No,Cerrado,Unreleased,
LLaMA-65B,Meta AI,United States of America,2023-02-24,2023,Language,5.5e+23,23.740362689494244,65200000000.0,$578026.30,Yes,Abierto,Open weights (non-commercial),
PaLI-X,Google Research,United States of America,2023-05-29,2023,"Multimodal,Language,Vision,Video",5.6e+23,23.7481880270062,55000000000.0,,No,Cerrado,Unreleased,
Yi-34B,01.AI,China,2023-11-02,2023,Language,6.1e+23,23.785329835010767,34000000000.0,,Yes,Abierto,Open weights (restricted use),
Mixtral 8x7B,Mistral AI,France,2023-12-11,2023,Language,7.74e+23,23.88874096068289,46700000000.0,,Yes,Abierto,Open weights (unrestricted),
Llama 2-70B,Meta AI,United States of America,2023-07-18,2023,Language,8.1e+23,23.90848501887865,70000000000.0,$1102561.19,Yes,Abierto,Open weights (restricted use),
InternLM,"Shanghai AI Lab,SenseTime","China,Hong Kong",2023-07-06,2023,Language,9.984e+23,23.99930457233835,104000000000.0,$1505257.38,No,Cerrado,Unreleased,
Qwen-72B,Alibaba,China,2023-11-30,2023,Language,1.3e+24,24.113943352306837,72000000000.0,,Yes,Abierto,Open weights (restricted use),
Grok-1,xAI,United States of America,2023-11-04,2023,Language,2.90000000001e+24,24.462397997900453,314000000000.0,,Yes,Abierto,Open weights (unrestricted),
Falcon-180B,Technology Innovation Institute,United Arab Emirates,2023-09-06,2023,Language,3.76e+24,24.57518784492766,180000000000.0,$10743500.87,Yes,Abierto,Open weights (restricted use),checked
Claude 2,Anthropic,United States of America,2023-07-11,2023,Language,3.866e+24,24.587261849692535,,$4902644.12,No,Cerrado,API access,checked
Amazon Titan,Amazon,United States of America,2023-09-28,2023,"Language,Image generation",4.7999999999999996e+24,24.681241237375588,200000000000.0,$7933464.67,No,Cerrado,API access,checked
PaLM 2,Google,United States of America,2023-05-10,2023,Language,7.34e+24,24.865696059916072,340000000000.0,$5014266.98,No,Cerrado,API access,checked
Inflection-2,Inflection AI,United States of America,2023-11-22,2023,Language,1.001e+25,25.00043407747932,,$13461144.18,No,Cerrado,Hosted access (no API),checked
GPT-4 (Jun 2023),OpenAI,United States of America,2023-03-15,2023,"Multimodal,Language,Vision",2.1e+25,25.32221929473392,1800000000000.0,,No,Cerrado,API access,checked
GPT-4 (Mar 2023),OpenAI,United States of America,2023-03-15,2023,"Multimodal,Language,Vision",2.1e+25,25.32221929473392,1800000000000.0,$37334304.98,No,Cerrado,API access,checked
Gemini 1.0 Ultra,Google DeepMind,United States of America,2023-12-06,2023,"Multimodal,Language,Vision",5.0000000001e+25,25.698970004344705,,$30719419.94,No,Cerrado,API access,checked
VILA1.5-13B,"NVIDIA,Massachusetts Institute of Technology (MIT)","United States of America,United States of America",2024-05-03,2024,"Multimodal,Language,Vision,Video",2.3003136e+21,21.361787047089525,13493916736.0,,Yes,Abierto,Open weights (non-commercial),
OpenVLA,"Stanford University,University of California (UC) Berkeley,Toyota Research Institute,Google DeepMind,Massachusetts Institute of Technology (MIT),Physical Intelligence","United States of America,United States of America,United States of America,United States of America,United States of America,United States of America",2024-06-13,2024,"Robotics,Vision,Language",1.1e+23,23.041392685158225,7188100000.0,,Yes,Abierto,Open weights (unrestricted),
AFM-on-device,Apple,United States of America,2024-07-29,2024,Language,4.5126e+23,23.65442683906152,2730000000.0,,No,Cerrado,Hosted access (no API),
MM1-30B,Apple,United States of America,2024-03-14,2024,"Multimodal,Language,Vision",4.86e+23,23.686636269262294,30000000000.0,,No,Cerrado,Unreleased,
Llama 3.2 11B,Meta AI,United States of America,2024-09-24,2024,"Multimodal,Vision,Language",5.79e+23,23.762678563727437,10600000000.0,,Yes,Abierto,Open weights (restricted use),
ALLaM adapted 70B,Saudi Data and Artificial Intelligence Authority,Saudi Arabia,2024-05-21,2024,Language,1.062e+24,24.02612451674545,70000000000.0,,No,Cerrado,Unreleased,
EXAONE 3.5 32B,LG AI Research,Korea (Republic of),2024-12-09,2024,Language,1.25e+24,24.096910013008056,32000000000.0,,Yes,Abierto,Open weights (non-commercial),
DeepSeek-Coder-V2 236B,DeepSeek,China,2024-06-17,2024,Language,1.2852e+24,24.10897071687948,236000000000.0,,Yes,Abierto,Open weights (restricted use),
Qwen1.5-72B,Alibaba,China,2024-02-04,2024,Language,1.3e+24,24.113943352306837,72000000000.0,,Yes,Abierto,Open weights (restricted use),
Yi-Lightning,01.AI,China,2024-10-18,2024,Language,1.5e+24,24.17609125905568,,,No,Cerrado,API access,
DeepSeek-V2.5,DeepSeek,China,2024-09-06,2024,Language,1.7892000000000004e+24,24.25265888950062,236000000000.0,,Yes,Abierto,Open weights (restricted use),
Yi-Large,01.AI,China,2024-05-13,2024,Language,1.7999999999999996e+24,24.255272505103306,100000000000.0,,No,Cerrado,API access,
DBRX,Databricks,United States of America,2024-03-27,2024,Language,2.6e+24,24.414973347970818,132000000000.0,,Yes,Abierto,Open weights (restricted use),
NVLM-D 72B,NVIDIA,United States of America,2024-10-22,2024,"Vision,Language",3.02e+24,24.48000694295715,72000000000.0,,Yes,Abierto,Open weights (non-commercial),
NVLM-H 72B,NVIDIA,United States of America,2024-10-22,2024,"Vision,Language",3.02e+24,24.48000694295715,72000000000.0,,No,Cerrado,Unreleased,
Qwen2-72B,Alibaba,China,2024-06-07,2024,Language,3.02e+24,24.48000694295715,72710000000.0,,Yes,Abierto,Open weights (unrestricted),
LLaVA-OV-72B,"ByteDance,Nanyang Technological University,Chinese University of Hong Kong (CUHK),Hong Kong University of Science and Technology (HKUST)","China,Singapore,Hong Kong,Hong Kong",2024-08-06,2024,"Multimodal,Vision,Language,Video",3.036551985824e+24,24.48238072065148,72000000000.0,,Yes,Abierto,Open weights (unrestricted),
NVLM-X 72B,NVIDIA,United States of America,2024-10-22,2024,"Vision,Language",3.0398181e+24,24.48284759659237,72000000000.0,,No,Cerrado,Unreleased,
DeepSeek-V3,DeepSeek,China,2024-12-24,2024,Language,3.3e+24,24.518513939877888,671000000000.0,$5390000.00,Yes,Abierto,Open weights (restricted use),
Hunyuan-Large,Tencent,China,2024-11-06,2024,Language,3.49237e+24,24.543120248906924,389000000000.0,,Yes,Abierto,Open weights (restricted use),
Qwen2.5-32B,Alibaba,China,2024-09-17,2024,Language,3.51e+24,24.545307116465825,32500000000.0,,Yes,Abierto,Open weights (unrestricted),
MegaScale (Production),"ByteDance,Peking University","China,China",2024-02-23,2024,Language,3.9e+24,24.5910646070265,530000000000.0,$2614019.25,No,Cerrado,Unreleased,
AFM-server,Apple,United States of America,2024-07-29,2024,Language,4.3e+24,24.633468455579585,,,No,Cerrado,Hosted access (no API),
Amazon Nova Pro,Amazon,United States of America,2024-12-03,2024,"Multimodal,Language,Video,Vision",6.000010000000001e+24,24.778151974207177,,,No,Cerrado,API access,
Llama 3.3 70B,Meta AI,United States of America,2024-12-06,2024,Language,6.8649768e+24,24.836639073889014,70000000000.0,,Yes,Abierto,Open weights (restricted use),
Telechat2-115B,China Telecom,China,2024-09-20,2024,Language,6.899999999999999e+24,24.838849090737256,115000000000.0,,Yes,Abierto,Open weights (restricted use),
Qwen2.5-72B,Alibaba,China,2024-09-19,2024,Language,7.8e+24,24.89209460269048,72700000000.0,,Yes,Abierto,Open weights (unrestricted),
Qwen2.5 Instruct (72B),Alibaba,China,2024-09-19,2024,Language,7.851600000000001e+24,24.894958166345987,72700000000.0,,Yes,Abierto,Open weights (restricted use),
Llama 3-70B,Meta AI,United States of America,2024-04-18,2024,Language,7.860999999999999e+24,24.895477796275713,70000000000.0,,Yes,Abierto,Open weights (restricted use),
Llama-3.1-Nemotron-70B-Instruct,"NVIDIA,Meta AI","United States of America,United States of America",2024-06-12,2024,Language,7.929e+24,24.899218417851372,,,Yes,Abierto,Open weights (restricted use),
Inflection-2.5,Inflection AI,United States of America,2024-03-07,2024,Language,8.000001e+24,24.90309004127875,,$11804593.33,No,Cerrado,Hosted access (no API),
Reka Core,Reka AI,United States of America,2024-04-15,2024,"Multimodal,Language,Vision,Video,Speech",8.400010000000001e+24,24.924279803078814,67000000000.0,,No,Cerrado,API access,
Aramco Metabrain AI,Saudi Aramco,Saudi Arabia,2024-03-04,2024,Language,1.05e+25,25.02118929906994,250000000000.0,,No,Cerrado,Unreleased,
Mistral Large,Mistral AI,France,2024-02-26,2024,Language,1.1199999999999999e+25,25.049218022670182,,$14110111.93,No,Cerrado,API access,
Nemotron-4 340B,NVIDIA,United States of America,2024-06-14,2024,Language,1.8000000000000005e+25,25.255272505103306,340000000000.0,$21271017.96,Yes,Abierto,Open weights (unrestricted),checked
Mistral Large 2,Mistral AI,France,2024-07-24,2024,Language,2.13e+25,25.328379603438737,123000000000.0,,Yes,Abierto,Open weights (non-commercial),
Doubao-pro,ByteDance,China,2024-10-28,2024,Language,2.505e+25,25.398807730203263,500000000000.0,,No,Cerrado,API access,
Claude 3.5 Sonnet,Anthropic,United States of America,2024-06-20,2024,"Multimodal,Language,Vision",2.700000000000001e+25,25.431363764158988,,$25870993.12,No,Cerrado,API access,checked
Grok-2,xAI,United States of America,2024-08-13,2024,"Language,Vision,Multimodal",2.9599999999999996e+25,25.47129171105894,,$31602310.53,No,Cerrado,API access,checked
Llama 3.1-405B,Meta AI,United States of America,2024-07-23,2024,Language,3.8e+25,25.57978359661681,405000000000.0,$52885433.95,Yes,Abierto,Open weights (restricted use),checked
Qwen3-Omni-30B-A3B,Alibaba,China,2025-09-22,2025,"Multimodal,Language,Vision,Speech,Video",3.6e+22,22.556302500767288,35300000000.0,,Yes,Abierto,Open weights (unrestricted),
Eagle 2,"NVIDIA,Nanjing University,Tsinghua University,Hong Kong Polytechnic University,Johns Hopkins University,New York University (NYU)","United States of America,China,China,Hong Kong,United States of America,United States of America",2025-01-20,2025,"Vision,Robotics,Language",4.7156e+22,22.67353695902688,8930000000.0,,Yes,Abierto,Open weights (non-commercial),
Nemotron 3-Nano-30B-A3B,NVIDIA,United States of America,2025-12-15,2025,Language,4.8e+23,23.681241237375588,31600000000.0,,Yes,Abierto,Open weights (restricted use),
gpt-oss-20b,OpenAI,United States of America,2025-08-05,2025,Language,5.49e+23,23.739572344450092,20910000000.0,,Yes,Abierto,Open weights (unrestricted),
AgentFounder-30B,Alibaba,China,2025-09-16,2025,Language,6.5367e+23,23.81535855360072,30000000000.0,,Yes,Abierto,Open weights (unrestricted),
Olmo 3,Allen Institute for AI,United States of America,2025-11-20,2025,Language,1.0999999999999999e+24,24.041392685158225,32000000000.0,,Yes,Abierto,Open weights (unrestricted),
EXAONE Deep 32B,LG AI Research,Korea (Republic of),2025-03-16,2025,Language,1.26e+24,24.100370545117563,32000000000.0,,Yes,Abierto,Open weights (non-commercial),
Seed1.5-VL,ByteDance,China,2025-05-11,2025,"Vision,Language,Multimodal,Video",1.388556e+24,24.142563399390966,,,No,Cerrado,API access,
K-EXAONE,LG AI Research,Korea (Republic of),2025-12-31,2025,Language,1.52e+24,24.181843587944773,236000000000.0,,No,Cerrado,API access,
Qwen3-Coder-480B-A35B,Alibaba,China,2025-07-22,2025,Language,1.5750000000000004e+24,24.19728055812562,480000000000.0,,Yes,Abierto,Open weights (unrestricted),
Llama 4 Maverick,Meta AI,United States of America,2025-04-05,2025,"Multimodal,Language,Vision",2.244000000001e+24,24.351022852584318,400000000000.0,,Yes,Abierto,Open weights (restricted use),
EXAONE 4.0 (32B),LG AI Research,Korea (Republic of),2025-07-15,2025,Language,2.69000000000001e+24,24.42975228000241,32000000000.0,,Yes,Abierto,Open weights (non-commercial),
Kimi K2,Moonshot,China,2025-07-11,2025,Language,2.976e+24,24.47363292687384,1000000000000.0,,Yes,Abierto,Open weights (restricted use),
DeepSeek-V3 (Mar 2025),DeepSeek,China,2025-03-24,2025,Language,3.3e+24,24.518513939877888,671000000000.0,$5390000.00,Yes,Abierto,Open weights (restricted use),
DeepSeek-R1,DeepSeek,China,2025-01-20,2025,Language,3.5e+24,24.544068044350276,671000000000.0,$6770000.00,Yes,Abierto,Open weights (unrestricted),
QwQ-32B,Alibaba,China,2025-03-06,2025,Language,3.51e+24,24.545307116465825,32500000000.0,,Yes,Abierto,Open weights (unrestricted),
LongCat-Flash,Meituan Inc,China,2025-09-01,2025,Language,3.726e+24,24.571242850560225,560000000000.0,,Yes,Abierto,Open weights (unrestricted),
DeepSeek-R1 (May 2025),DeepSeek,China,2025-05-28,2025,Language,4.020010000000001e+24,24.60422713341766,671000000000.0,$6770000.00,Yes,Abierto,Open weights (unrestricted),
Llama 4 Scout,Meta AI,United States of America,2025-04-05,2025,"Multimodal,Language,Vision",4.08e+24,24.61066016308988,109000000000.0,,Yes,Abierto,Open weights (restricted use),
Kimi K2 Thinking,Moonshot,China,2025-11-06,2025,Language,4.1999999999999997e+24,24.6232492903979,1000000000000.0,,Yes,Abierto,Open weights (restricted use),
GLM-4.5,"Z.ai (Zhipu AI),Tsinghua University","China,China",2025-08-05,2025,Language,4.42e+24,24.64542226934909,355000000000.0,,Yes,Abierto,Open weights (unrestricted),
GLM-4.6,"Z.ai (Zhipu AI),Tsinghua University","China,China",2025-09-30,2025,Language,4.42e+24,24.64542226934909,357000000000.0,,Yes,Abierto,Open weights (unrestricted),
GLM-4.7,Z.ai (Zhipu AI),China,2025-12-22,2025,Language,4.42e+24,24.64542226934909,358000000000.0,,Yes,Abierto,Open weights (unrestricted),
Qwen3-235B-A22B,Alibaba,China,2025-04-29,2025,Language,4.752e+24,24.676876431973138,235000000000.0,,Yes,Abierto,Open weights (unrestricted),
Qwen3-235B-A22B (Jul 2025),Alibaba,China,2025-07-25,2025,Language,4.752e+24,24.676876431973138,235000000000.0,,Yes,Abierto,Open weights (unrestricted),
Qwen3-235B-A22B-Thinking (Jul 2025),Alibaba,China,2025-07-25,2025,Language,4.752e+24,24.676876431973138,235000000000.0,,Yes,Abierto,Open weights (unrestricted),
gpt-oss-120b,OpenAI,United States of America,2025-08-05,2025,Language,4.94e+24,24.693726948923647,116830000000.0,,Yes,Abierto,Open weights (unrestricted),
Hunyuan-TurboS,Tencent,China,2025-03-11,2025,Language,5.4e+24,24.73239375982297,560000000000.0,,No,Cerrado,API access,
Ling-1T,Ant Group,China,2025-10-10,2025,Language,6.000001e+24,24.77815132276605,1000000000000.0,,Yes,Abierto,Open weights (unrestricted),
Pangu Ultra,Huawei,China,2025-04-10,2025,Language,1.0692e+25,25.0290589500845,135000000000.0,,No,Cerrado,Hosted access (no API),
Qwen3-Max,Alibaba,China,2025-09-05,2025,Language,1.512e+25,25.17955179116519,1000000000000.0,,No,Cerrado,API access,
Claude 3.7 Sonnet,Anthropic,United States of America,2025-02-24,2025,"Language,Vision,Multimodal",3.3500000000000006e+25,25.525044807036846,,,No,Cerrado,API access,
Llama 4 Behemoth (preview),Meta AI,United States of America,2025-04-05,2025,"Multimodal,Language,Vision",5.18400000000001e+25,25.714664992862538,2000000000000.0,$44588963.62,No,Cerrado,Unreleased,checked
GPT-5,OpenAI,United States of America,2025-08-07,2025,"Multimodal,Language,Vision",6.600000000000001e+25,25.81954393554187,,,No,Cerrado,API access,
Grok 3,xAI,United States of America,2025-02-17,2025,"Language,Vision,Multimodal",3.5000000000000006e+26,26.544068044350276,3000000000000.0,$217835545.53,No,Cerrado,API access,checked
GPT-4.5,OpenAI,United States of America,2025-02-27,2025,"Language,Vision,Multimodal",3.8e+26,26.57978359661681,,$339957479.94,No,Cerrado,API access,checked
Grok 4,xAI,United States of America,2025-07-09,2025,"Language,Multimodal,Vision",5.0000000000001e+26,26.698970004336026,3000000000000.0,$387842678.09,No,Cerrado,API access,checked
